n_nodes,rank_mean,rank_std,rank_max,rank_min,rc_mean,rc_std,rc_max,dis_mean,dis_std,dis_max,dio_mean,dio_max,disrx_mean,disrx_max,version_spread,txe_mean,txe_std,rxe_mean,pdr_mean,pdr_min,label,group
10,460.4,116.54029346110296,637,306,33.3,1.3453624047073711,36,0.5,0.5,1,11.8,14,0.4,1,0,462185.6,180626.86169404598,22250004.8,1.0,1.0,0,data_normal_s3
10,460.4,102.0619419764292,614,298,37.1,1.3,40,0.5,0.5,1,12.1,15,0.4,1,0,511398.4,204528.90697757126,22778594.4,0.9972972972972972,0.972972972972973,0,data_normal_s3
10,463.2,118.0032202950411,643,275,40.9,1.374772708486752,44,0.5,0.5,1,12.5,15,0.4,1,0,559094.4,220006.83232445305,23288454.8,0.9975609756097562,0.975609756097561,0,data_normal_s3
10,452.1,110.22472499398673,608,309,44.4,1.2806248474865698,47,0.5,0.5,1,12.7,16,0.4,1,0,603888.0,242358.4704754509,23774342.4,0.9977272727272727,0.9772727272727273,0,data_normal_s3
10,470.0,96.86588666811448,622,340,48.3,1.3453624047073711,51,0.5,0.5,1,12.7,16,0.4,1,0,654147.2,263684.8362469105,24299907.2,0.9979166666666666,0.9791666666666666,0,data_normal_s3
10,465.1,94.33074790332152,592,292,52.1,1.0440306508910548,54,0.5,0.5,1,13.4,17,0.4,1,0,704880.0,282750.53842990287,24815564.0,0.998076923076923,0.9807692307692307,0,data_normal_s3
10,455.6,102.09231116984276,577,303,55.8,1.16619037896906,58,0.5,0.5,1,13.9,17,0.4,1,0,751504.0,301989.7103200703,25314730.0,0.9981818181818183,0.9818181818181818,0,data_normal_s3
10,437.8,104.23415946799783,566,290,59.6,1.2806248474865698,62,0.5,0.5,1,14.4,17,0.4,1,0,797388.8,322122.48842848587,25821572.8,0.9983050847457626,0.9830508474576272,0,data_normal_s3
10,425.0,112.55043313999285,608,274,63.2,1.0770329614269007,65,0.5,0.5,1,14.8,18,0.4,1,0,839811.2,331675.751660202,26314221.2,0.9984126984126984,0.9841269841269841,0,data_normal_s3
10,419.1,112.36320572144602,589,282,66.9,0.9433981132056604,69,0.5,0.5,1,15.0,18,0.4,1,0,884028.8,349785.6600870882,26824991.2,0.9985074626865671,0.9850746268656716,0,data_normal_s3
10,421.9,108.05965944791792,558,274,70.6,1.1135528725660042,73,0.5,0.5,1,15.2,18,0.4,1,0,928415.2,366515.8346933458,27318606.8,0.9985915492957746,0.9859154929577465,0,data_normal_s3
10,434.3,89.6906349626314,550,307,74.5,1.2041594578792296,77,0.5,0.5,1,15.2,18,0.4,1,0,975798.4,387800.01854646683,27846335.6,0.9986666666666666,0.9866666666666667,0,data_normal_s3
